object_code,object_description,2019_actuals,2020_actuals,2021_budget,2021_actuals,2022_proposed_budget,2022_adopted_budget,fund_number,fund_name,org_key,department,fund_category,report_date
3411510,Indigent Defense Reimbursement,377453,0,25000,0,25000,25000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3411511,Ind Defense Application Fees,32419,34595,40000,25539,40000,40000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3411710,Burke/Columbia County DA,1403426,1464887,1657090,816303,342300,342300,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3411711,Burke Co Reimb-Public Defender,227371,237359,251610,214520,300790,300790,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3411712,Columbia Co Reimb-Public Defen,630483,508089,710810,373998,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3411713,Superior Ct-Circuit Burke Reim,131508,136070,216000,105535,70000,70000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3411714,Superior Ct-Circuit Col Co Rei,619968,641476,984000,386407,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3411715,ADR Fees-Richmond,125959,185186,200000,0,140000,140000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3411716,Burke Reimbursement Juvenile,0,0,0,3677,32500,32500,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3411717,Juvenile-Ga Judges Council,0,0,0,62500,125000,125000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3411725,ADR-Burke,0,0,0,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3411910,Pre-Trial Diversion Prg,0,0,0,8250,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3415130,HP Maintenance Fees,3576,910,3000,195,2000,2000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3416110,Motor Vehicle Tag Coll Fees,308386,390418,320000,361805,320000,320000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3416210,Wildlife Tag Fees,1368,1115,1000,1037,1000,1000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417104,IDC-Recovery-Port Authority,3530,5410,5210,5210,12030,12030,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417203,IDC-Recovery Life Skills,0,0,340,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417204,IDC-Recovery DUI Acctability,28390,26430,26810,26810,29050,29050,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417205,IDC-Recovery Drug Court,6770,4170,4290,4290,5400,5400,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417207,IDC-Recovery-5% CVAP,13700,12920,12030,12030,12690,12690,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417208,IDC-Recovery,1650,1380,1670,1670,1700,1700,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417209,IDC-DA CVAP,4000,6340,7370,7370,8080,8080,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417216,IDC-Recovery-E-911,363820,356580,358870,358870,331830,331830,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417217,IDC-Recovery-Inspection,68420,85750,77130,77130,85520,85520,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417221,IDC-Recovery-HND,482390,332470,350940,350940,357670,357670,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417231,IDC-Recovery,2770,2230,2910,2910,3410,3410,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417235,IDC-TSPLOST Discretionary,24060,46330,55160,55160,44830,44830,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417271,IDC-Recovery-Urban SD,11240,9610,11070,11070,13910,13910,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417272,IDC-Recovery-Capital Outlay,15220,25460,22460,22460,19160,19160,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417273,IDC-Recovery-Law Enforcement,2293190,2388980,2431350,2431350,2492950,2492950,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417274,IDC-Recovery-Fire Protection,818250,815630,856300,856300,878480,878480,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417275,IDC-Recovery-Occupation Tax,7610,8260,9460,9460,12850,12850,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417276,IDC-Recovery Street Lights,64300,31030,33010,33010,35790,35790,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417277,IDC-Recovery-DDA Revenue,4440,3620,4090,4090,4810,4810,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417298,IDC-Recovery-Urban Redevpmt,1790,1370,2080,2080,5060,5060,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417329,IDC-Recovery SPL,773610,701340,627260,627260,686560,686560,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417335,IDC-Capital Projects,1990,4000,4000,4000,2680,2680,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417506,IDC-Recovery-Utilites,1371800,1428930,1527830,1527830,1601250,1601250,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417507,IDC-Recovery,6760,7070,7580,7580,7970,7970,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417508,IDC-Recovery,1410,1590,2490,2490,2670,2670,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417509,IDC-Recovery,2260,2290,3810,3810,3410,3410,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417510,IDC-Recovery,2540,2440,4600,4600,4150,4150,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417511,IDC-Recovery W&S 2004 Bonds,2820,3160,5930,5930,6480,6480,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417512,IDC-Recovery WS 2012 Bonds,5320,3330,4060,4060,4410,4410,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417513,IDC-WS 2013 Bonds,1790,1890,2650,2650,2660,2660,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417514,IDC-WS 2014 Bonds,9270,5790,5170,5170,5320,5320,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417515,IDC-Recover Bds 2019 Series,0,0,1580,1580,2470,2470,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417541,IDC-Recovery-Waste Management,426390,394660,435250,435250,476520,476520,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417542,IDC-Recovery-Solid WasteRecov,476290,410090,467840,467840,486800,486800,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417543,IDC-Recovery-Waste Mgmt,3420,2870,2860,2860,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417544,IDC-Recovery Solid Waste 2010,2200,2000,2000,2000,2300,2300,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417546,IDC-Recovery-Transit,211020,306250,326650,326650,132300,132300,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417547,IDC-Recovery Transit Grants,11910,19190,9860,9860,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417551,IDC-Recovery-Bush Field,368180,422010,462520,462520,396040,396040,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417552,IDC-Recovery-Daniel Field,14540,12850,15350,15350,12890,12890,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417581,IDC-Stormwater,459460,459460,231570,231570,278070,278070,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417611,IDC-Recovery-Risk Management,184300,189770,192690,192690,204080,204080,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417616,IDC-Recovery,32670,31190,34680,34680,37450,37450,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417621,IDC-Recovery-Workers Comp,8420,8300,7790,7790,8320,8320,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417623,IDC-Recovery,1840,1840,1790,1790,1840,1840,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417626,IDC-Recovery-Fleet Management,71500,106070,167790,167790,189250,189250,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417950,IDC-Recovery URA,7690,12320,7180,7180,6950,6950,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417951,IDC-Rec URA Foundry,0,0,1340,1340,2760,2760,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3419110,Election Qualifying Fees,11589,38567,300,0,30300,30300,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3419310,Sale of Maps & Publications,895,990,1000,930,1000,1000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3419330,Voter Lists and Labels,585,1750,700,470,700,700,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3419410,Commissions on Tax Collections,2883342,2653262,2700000,2997319,2900000,2900000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3419430,Motor Vehicle Title Fees,15341,13712,20000,13795,20000,20000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3419440,Lapsed Motor Vehicle Ins Fees,88095,57540,90000,64705,80000,80000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3419520,Coroner-AU,13000,1000,10000,1500,10000,10000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3419611,Tele Commissions - RCCI,35000,0,0,0,125000,125000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3421110,ID Card Fees,340,395,500,413,500,500,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3423110,Fingerprinting Fees,17190,26055,16000,22965,25000,25000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3423210,Inmate Medical Fees,0,0,0,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3423310,Prisoner Housing Fees,1739710,1589896,1667700,1212882,1667700,1667700,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3423420,GA DOT RCCI Guard,170823,101177,160000,109555,120000,120000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3435110,State Road Maintenance Fees,40800,40800,40800,37550,40800,40800,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3436110,Demolition Fees,57292,46352,50000,86673,50000,50000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3445120,Right of Way Fees,366259,231957,100000,177740,200000,200000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3446117,Concession Revenue,2591,2402,2400,3123,2400,2400,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3446120,ATM-Snack Bar Fees,3171,2801,2500,2734,2500,2500,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3455110,Animal Control & Shelter Fees,49096,23485,22500,24071,25000,25000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3455120,Rabies Certificate Fees,15231,9572,15000,9390,11000,11000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3455125,Sterilization Fees,21759,17410,23000,10335,15000,15000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3455130,Animal Registration Fees,1205,60,0,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3461120,Animal Srvs/Ft Gordon,450,0,900,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3473130,Law Library Revenue,0,0,0,2397,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3481120,Public Room Rental-Marriott,23208,14064,25000,0,25000,25000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3491110,Cemetery fees,54322,70587,0,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3493110,Returned Check Fee,1862,1241,2000,150,1000,1000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3494210,Health Insurance-Employee Cont,0,0,0,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3511110,Superior,135909,150714,150000,115955,150000,150000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3511210,State,1789236,2204533,2350000,1622647,2100000,2100000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3511310,Magistrate,1161636,953044,1100000,953247,1100000,1100000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3511510,Juvenile,23279,3166,4500,3011,3500,3500,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3511710,Probate Court,318737,340661,325000,353235,350000,350000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3519410,Drug treatment/education,73607,69517,90000,60618,70000,70000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3519510,5% CVAP - Solicitor General,0,0,0,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3611110,Interest revenues,1322171,453601,1300000,0,650000,650000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3611210,Int Earned - Tax Commissioner,28737,15228,150000,351320,50000,50000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3611220,Interest Earned - Clerk of Crt,724,4426,800,2162,2000,2000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3711110,Contributions And Donations Fr,0,1450,25000,5,25000,25000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3811210,RxCard Royalties,3378,1426,5000,781,2500,2500,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3811310,Solar Program Lease,59250,57850,57850,57850,57850,57850,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3831110,Rents and royalties,34125,29083,60000,53750,50000,50000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3831111,Rental - Tower,0,0,0,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3891110,Miscellaneous Income,393935,353470,397280,263274,300000,300000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3891120,Tax Commissioner-Other Revenue,6209,12537,7500,3108,7500,7500,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3891121,Levy Sale Costs,215333,137213,200000,220632,200000,200000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3891170,AEDA-Administrator Allocation,0,0,60000,60000,60000,60000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3911230,Oper Trf fr ARPA-City,0,0,1208230,1208230,5691450,7029490,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3911235,Op Trsf fr TIA,0,0,0,0,0,739700,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3911273,Op Tsfr from Law Enforcement,5209893,5135820,5943920,5943920,6029670,6029670,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3911275,Op Tsfr from Occupation Tax,2581594,2587331,2646540,2646540,2646540,2646540,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3911371,Op Tsfr from TIA,0,9270,9270,9270,10290,10290,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3923110,Property sale,194704,423524,345260,236463,300000,300000,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3951110,Encumbrance Carry Forwards,0,0,0,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3951120,Capital Project Carry Forwards,0,0,510360,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3952110,Fund Balance Appropriations,0,0,3089600,0,0,0,101,General Fund,101000000,General Fund,GENERAL FUNDS,2021-12-31
3417021,Lic & Insp Admin Allo-Recovery,60310,60310,60310,60310,60310,60310,101,General Fund,101015161,License & Inspect Administrati,GENERAL FUNDS,2021-12-31
3446117,Concession Revenue,4485,2955,4000,3637,4000,4000,101,General Fund,101016215,B&G-Judicial Center,GENERAL FUNDS,2021-12-31
3522111,Forfeiture of Assets - DA,0,0,84850,0,84850,84850,101,General Fund,101021311,DA - Forfeiture Account,GENERAL FUNDS,2021-12-31
3522112,Forfeiture of Asset-Marshal,0,0,10000,0,10000,10000,101,General Fund,101022611,Marshal Forfeiture Fees,GENERAL FUNDS,2021-12-31
3423210,Inmate Medical Fees,1840,1229,1000,1415,1000,1000,101,General Fund,101033211,RCCI,GENERAL FUNDS,2021-12-31
3423220,Inmate Mgmt Fee,1174,1282,1000,1059,1000,1000,101,General Fund,101033211,RCCI,GENERAL FUNDS,2021-12-31
3423230,Inmate Disciplinary Fee,723,851,1000,951,1000,1000,101,General Fund,101033211,RCCI,GENERAL FUNDS,2021-12-31
3419613,RCCI-Inmate Store,63792,48114,101200,207340,94200,94200,101,General Fund,101033212,RCCI - Inmate Store,GENERAL FUNDS,2021-12-31
3111110,Real Property Tax-Curr Year,0,0,0,0,0,0,101,General Fund,101039110,Animal Services,GENERAL FUNDS,2021-12-31
3711110,Contributions And Donations Fr,924,1209,1000,2438,5000,5000,101,General Fund,101039110,Animal Services,GENERAL FUNDS,2021-12-31
3311113,FEMA Grant,50000,50000,50000,0,50000,50000,101,General Fund,101039210,Emergency management,GENERAL FUNDS,2021-12-31
3711110,Contributions And Donations Fr,500,0,0,0,0,0,101,General Fund,101039210,Emergency management,GENERAL FUNDS,2021-12-31
3481110,Parking fee,57919,75177,100000,58664,100000,100000,101,General Fund,101041920,Marriott Parking,GENERAL FUNDS,2021-12-31
3481110,Parking fee,392791,88583,211500,50123,211500,211500,101,General Fund,101041930,Reynolds Street Deck,GENERAL FUNDS,2021-12-31
3481110,Parking fee,234400,319991,314400,198693,314400,314400,101,General Fund,101041940,Cyber Cnt Parking Deck,GENERAL FUNDS,2021-12-31
3476110,Program fees,15364,100,15000,13199,15000,15000,101,General Fund,101061214,Special Activities,GENERAL FUNDS,2021-12-31
3711110,Contributions And Donations Fr,8025,11000,10000,0,10000,10000,101,General Fund,101061214,Special Activities,GENERAL FUNDS,2021-12-31
3476110,Program fees,20055,3303,20000,9161,20000,20000,101,General Fund,101061223,Youth Programs,GENERAL FUNDS,2021-12-31
3476210,Youth Athletics - East Aug,340,10,500,2942,500,500,101,General Fund,101061223,Youth Programs,GENERAL FUNDS,2021-12-31
3476220,Youth Athletics - South Aug,42697,1355,40000,41508,40000,40000,101,General Fund,101061223,Youth Programs,GENERAL FUNDS,2021-12-31
3476230,Youth Athletics - West Aug,20879,307,20000,23670,20000,20000,101,General Fund,101061223,Youth Programs,GENERAL FUNDS,2021-12-31
3476110,Program fees,22345,13420,25000,17720,25000,25000,101,General Fund,101061224,Adult Programs,GENERAL FUNDS,2021-12-31
3476110,Program fees,3157,0,5000,0,5000,5000,101,General Fund,101061225,Aquatics,GENERAL FUNDS,2021-12-31
3831110,Rents and royalties,0,0,0,-210,0,0,101,General Fund,101061225,Aquatics,GENERAL FUNDS,2021-12-31
3476110,Program fees,26039,809,5000,4211,5000,5000,101,General Fund,101061312,Henry H. Brigham Center,GENERAL FUNDS,2021-12-31
3831110,Rents and royalties,35060,4105,35000,11950,15000,15000,101,General Fund,101061312,Henry H. Brigham Center,GENERAL FUNDS,2021-12-31
3476110,Program fees,23161,1919,25000,3049,25000,25000,101,General Fund,101061313,Bernie Ward Community,GENERAL FUNDS,2021-12-31
3831110,Rents and royalties,15000,2400,15000,2000,15000,15000,101,General Fund,101061313,Bernie Ward Community,GENERAL FUNDS,2021-12-31
3476110,Program fees,234,91,300,55,300,300,101,General Fund,101061314,Sand Hills,GENERAL FUNDS,2021-12-31
3831110,Rents and royalties,13125,1500,15000,6000,15000,15000,101,General Fund,101061314,Sand Hills,GENERAL FUNDS,2021-12-31
3476110,Program fees,26699,8990,25000,11543,25000,25000,101,General Fund,101061315,Blythe Park,GENERAL FUNDS,2021-12-31
3831110,Rents and royalties,6450,750,5000,2020,5000,5000,101,General Fund,101061315,Blythe Park,GENERAL FUNDS,2021-12-31
3476110,Program fees,57414,15676,55000,16361,55000,55000,101,General Fund,101061321,Garrett Community Center,GENERAL FUNDS,2021-12-31
3831110,Rents and royalties,2000,0,2000,1550,1000,1000,101,General Fund,101061321,Garrett Community Center,GENERAL FUNDS,2021-12-31
3476110,Program fees,0,0,0,463,0,0,101,General Fund,101061325,Jamestown Community Center,GENERAL FUNDS,2021-12-31
3831110,Rents and royalties,0,1175,0,6000,0,0,101,General Fund,101061325,Jamestown Community Center,GENERAL FUNDS,2021-12-31
3476110,Program fees,23516,8124,20000,10088,20000,20000,101,General Fund,101061329,McBean Park,GENERAL FUNDS,2021-12-31
3831110,Rents and royalties,5550,500,5000,1160,5000,5000,101,General Fund,101061329,McBean Park,GENERAL FUNDS,2021-12-31
3476110,Program fees,1735,230,2000,1619,2000,2000,101,General Fund,101061330,McDuffie Woods Park,GENERAL FUNDS,2021-12-31
3831110,Rents and royalties,13902,950,15000,3625,15000,15000,101,General Fund,101061330,McDuffie Woods Park,GENERAL FUNDS,2021-12-31
3476110,Program fees,3497,3558,3500,8106,4500,4500,101,General Fund,101061331,May Park Community Center,GENERAL FUNDS,2021-12-31
3831110,Rents and royalties,2600,700,3000,750,3000,3000,101,General Fund,101061331,May Park Community Center,GENERAL FUNDS,2021-12-31
3831110,Rents and royalties,9425,750,10000,250,0,0,101,General Fund,101061332,Minnick Park,GENERAL FUNDS,2021-12-31
3476110,Program fees,382,162,500,0,500,500,101,General Fund,101061333,Carrie J Mays Comm Life,GENERAL FUNDS,2021-12-31
3831110,Rents and royalties,15000,3300,15000,3250,15000,15000,101,General Fund,101061333,Carrie J Mays Comm Life,GENERAL FUNDS,2021-12-31
3476110,Program fees,100010,26769,100000,37023,100000,100000,101,General Fund,101061335,Warren Road Community,GENERAL FUNDS,2021-12-31
3831110,Rents and royalties,5675,285,6000,625,6000,6000,101,General Fund,101061335,Warren Road Community,GENERAL FUNDS,2021-12-31
3711110,Contributions And Donations Fr,25,0,0,0,0,0,101,General Fund,101061337,Henry Brigham-Ceremics,GENERAL FUNDS,2021-12-31
3831110,Rents and royalties,0,0,0,-400,0,0,101,General Fund,101061338,Henry Brigham Senior Center,GENERAL FUNDS,2021-12-31
3711110,Contributions And Donations Fr,105,0,0,0,0,0,101,General Fund,101061342,McBean Nutrition Center,GENERAL FUNDS,2021-12-31
3476110,Program fees,15097,10906,15000,208,15000,15000,101,General Fund,101061361,Other Concessions,GENERAL FUNDS,2021-12-31
3481110,Parking fee,2250,0,0,0,0,0,101,General Fund,101061417,Eisenhower Park,GENERAL FUNDS,2021-12-31
